NAME|ADDRESS|STATUS|VALUE
ROM_ENTRY_00|0xE00FF000|OK|0xfff0f003
ROM_ENTRY_01|0xE00FF004|OK|0xfff02003
ROM_ENTRY_02|0xE00FF008|OK|0xfff03003
ROM_ENTRY_03|0xE00FF00C|OK|0xfff01003
ROM_ENTRY_04|0xE00FF010|OK|0xfff41003
ROM_ENTRY_05|0xE00FF014|OK|0xfff42003
ROM_ENTRY_06|0xE00FF018|OK|0x0
ROM_ENTRY_07|0xE00FF01C|OK|0x0
ROM_ENTRY_08|0xE00FF020|OK|0x0
ROM_ENTRY_09|0xE00FF024|OK|0x0
ROM_ENTRY_10|0xE00FF028|OK|0x0
ROM_ENTRY_11|0xE00FF02C|OK|0x0
ROM_ENTRY_12|0xE00FF030|OK|0x0
ROM_ENTRY_13|0xE00FF034|OK|0x0
ROM_ENTRY_14|0xE00FF038|OK|0x0
ROM_ENTRY_15|0xE00FF03C|OK|0x0
ITM_PID4|0xE0000FD0|OK|0x4
ITM_PID5|0xE0000FD4|OK|0x0
ITM_PID6|0xE0000FD8|OK|0x0
ITM_PID7|0xE0000FDC|OK|0x0
ITM_PID0|0xE0000FE0|OK|0x1
ITM_PID1|0xE0000FE4|OK|0xb0
ITM_PID2|0xE0000FE8|OK|0x3b
ITM_PID3|0xE0000FEC|OK|0x0
ITM_CID0|0xE0000FF0|OK|0xd
ITM_CID1|0xE0000FF4|OK|0xe0
ITM_CID2|0xE0000FF8|OK|0x5
ITM_CID3|0xE0000FFC|OK|0xb1
DWT_PID4|0xE0001FD0|OK|0x4
DWT_PID5|0xE0001FD4|OK|0x0
DWT_PID6|0xE0001FD8|OK|0x0
DWT_PID7|0xE0001FDC|OK|0x0
DWT_PID0|0xE0001FE0|OK|0x2
DWT_PID1|0xE0001FE4|OK|0xb0
DWT_PID2|0xE0001FE8|OK|0x3b
DWT_PID3|0xE0001FEC|OK|0x0
DWT_CID0|0xE0001FF0|OK|0xd
DWT_CID1|0xE0001FF4|OK|0xe0
DWT_CID2|0xE0001FF8|OK|0x5
DWT_CID3|0xE0001FFC|OK|0xb1
FPB_PID4|0xE0002FD0|OK|0x4
FPB_PID5|0xE0002FD4|OK|0x0
FPB_PID6|0xE0002FD8|OK|0x0
FPB_PID7|0xE0002FDC|OK|0x0
FPB_PID0|0xE0002FE0|OK|0x3
FPB_PID1|0xE0002FE4|OK|0xb0
FPB_PID2|0xE0002FE8|OK|0x2b
FPB_PID3|0xE0002FEC|OK|0x0
FPB_CID0|0xE0002FF0|OK|0xd
FPB_CID1|0xE0002FF4|OK|0xe0
FPB_CID2|0xE0002FF8|OK|0x5
FPB_CID3|0xE0002FFC|OK|0xb1
SCS_PID4|0xE000EFD0|OK|0x4
SCS_PID5|0xE000EFD4|OK|0x0
SCS_PID6|0xE000EFD8|OK|0x0
SCS_PID7|0xE000EFDC|OK|0x0
SCS_PID0|0xE000EFE0|OK|0xc
SCS_PID1|0xE000EFE4|OK|0xb0
SCS_PID2|0xE000EFE8|OK|0xb
SCS_PID3|0xE000EFEC|OK|0x0
SCS_CID0|0xE000EFF0|OK|0xd
SCS_CID1|0xE000EFF4|OK|0xe0
SCS_CID2|0xE000EFF8|OK|0x5
SCS_CID3|0xE000EFFC|OK|0xb1
TPIU_PID4|0xE0040FD0|OK|0x4
TPIU_PID5|0xE0040FD4|OK|0x0
TPIU_PID6|0xE0040FD8|OK|0x0
TPIU_PID7|0xE0040FDC|OK|0x0
TPIU_PID0|0xE0040FE0|OK|0xa1
TPIU_PID1|0xE0040FE4|OK|0xb9
TPIU_PID2|0xE0040FE8|OK|0xb
TPIU_PID3|0xE0040FEC|OK|0x0
TPIU_CID0|0xE0040FF0|OK|0xd
TPIU_CID1|0xE0040FF4|OK|0x90
TPIU_CID2|0xE0040FF8|OK|0x5
TPIU_CID3|0xE0040FFC|OK|0xb1
ETM_PID4|0xE0041FD0|OK|0x4
ETM_PID5|0xE0041FD4|OK|0x0
ETM_PID6|0xE0041FD8|OK|0x0
ETM_PID7|0xE0041FDC|OK|0x0
ETM_PID0|0xE0041FE0|OK|0x25
ETM_PID1|0xE0041FE4|OK|0xb9
ETM_PID2|0xE0041FE8|OK|0xb
ETM_PID3|0xE0041FEC|OK|0x0
ETM_CID0|0xE0041FF0|OK|0xd
ETM_CID1|0xE0041FF4|OK|0x90
ETM_CID2|0xE0041FF8|OK|0x5
ETM_CID3|0xE0041FFC|OK|0xb1
ROMTABLE_PID4|0xE00FFFD0|OK|0x0
ROMTABLE_PID5|0xE00FFFD4|OK|0x0
ROMTABLE_PID6|0xE00FFFD8|OK|0x0
ROMTABLE_PID7|0xE00FFFDC|OK|0x0
ROMTABLE_PID0|0xE00FFFE0|OK|0x11
ROMTABLE_PID1|0xE00FFFE4|OK|0x4
ROMTABLE_PID2|0xE00FFFE8|OK|0xa
ROMTABLE_PID3|0xE00FFFEC|OK|0x0
ROMTABLE_CID0|0xE00FFFF0|OK|0xd
ROMTABLE_CID1|0xE00FFFF4|OK|0x10
ROMTABLE_CID2|0xE00FFFF8|OK|0x5
ROMTABLE_CID3|0xE00FFFFC|OK|0xb1
